NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
DRENOGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CAFEÍNA +  DIPIRONA +  MALEATO DE CLORFENIRAMINA
DRICS,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE HIDROXIZINA
DRIXI,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE HIDROXIZINA
DRONIK,ANTINEOPLASICO + SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO +  ÁCIDO ZOLEDRÔNICO MONOIDRATADO
DROPERDAL,ANTIEMETICOS E ANTINAUSEANTES,DROPERIDOL
DROPROPIZINA,ANTITUSSIGENOS,DROPROPIZINA
DROPROPIZINA,ANTITUSSIGENOS SIMPLES,DROPROPIZINA
DROPTIM,ANTIGLAUCOMATOSOS,MALEATO DE TIMOLOL
DROPY-D,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL
DROSPIRENONA + ETINILESTRADIOL,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
DROSPIRENONA+ETINILESTRADIOL,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
DROTIZIN,ANTI-HISTAMINICOS SISTEMICOS,DICLORIDRATO DE HIDROXIZINA
DROXAINE,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,HIDRÓXIDO DE ALUMÍNIO +  HIDRÓXIDO DE MAGNÉSIO +  OXETACAÍNA
DROXY,ANTI-HISTAMINICOS SISTEMICOS,DICLORIDRATO DE HIDROXIZINA
DRUSOLOL,ANTIGLAUCOMATOSOS,CLORIDRATO DE DORZOLAMIDA +  MALEATO DE TIMOLOL
DRY,ANTIESPASMODICOS,CLORIDRATO DE OXIBUTININA
DRYLTAC,ANTINFLAMATORIOS,DICLOFENACO COLESTIRAMINA
DTN-FOL,VITAMINAS E SUPLEMENTOS MINERAIS,ACETATO DE DEXTROALFATOCOFEROL +  ÁCIDO FÓLICO
DUAL,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
DUATLO,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
DUCILAMINA,ANTIALERGICOS TOPICOS,CLORIDRATO DE DIFENIDRAMINA
DUCODIL,LAXANTES IRRITANTES OU ESTIMULANTES,BISACODIL
DUCOX,ANTINFLAMATORIOS,CELECOXIBE
DUCTOQUINASE,ANTITROMBOTICO,
DUEFORZI,ANTINFLAMATORIOS ANTIREUMATICOS,ETODOLACO
DUELLE,PRODUTOS ANTI-ACNE,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
DUETTO,ANTIASMATICOS,BUDESONIDA +  FUMARATO DE FORMOTEROL DI-HIDRATADO
DUGAR,ANTIBIOTICOS SISTEMICOS SIMPLES,TIGECICLINA
DULCOFITO,FITOTERAPICO COMPOSTO + LAXANTES,CASSIA FISTULA L. +  SENNA ALEXANDRINA MILL.
DULCOLAX,LAXANTES IRRITANTES OU ESTIMULANTES,BISACODIL
DULCOLAX GOTAS,LAXANTES IRRITANTES OU ESTIMULANTES,PICOSSULFATO DE SÓDIO MONOIDRATADO
DULLO,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
DULORGRAN,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA
DUNIA 35,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
DUO-DECADRON,GLICOCORTICOIDES SISTEMICOS,ACETATO DE DEXAMETASONA +  FOSFATO DISSÓDICO DE DEXAMETASONA
DUO-TRAVATAN,ANTIGLAUCOMATOSOS,MALEATO DE TIMOLOL +  TRAVOPROSTA
DUOACT,ANTINFLAMATORIOS ANTIREUMATICOS,NAPROXENO SÓDICO
DUODEX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,DEXAMETASONA +  CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO
DUOFILM,CERATOLITICOS E CERATOPLASTICOS,ÁCIDO LÁTICO +  ÁCIDO SALICÍLICO
DUOFLAM,GLICOCORTICOIDES SISTEMICOS,DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA
DUOMO,ANTI-HIPERTENSIVOS,MESILATO DE DOXAZOSINA
DUOMO HP,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,FINASTERIDA +  MESILATO DE DOXAZOSINA
DUOSOL COM POTÁSSIO,PRODUTOS PARA HEMODIALISE,BICARBONATO DE SÓDIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  GLICOSE MONOHIDRATADA +  CLORETO DE CÁLCIO DIIDRATADO
DUOSOL SEM POTÁSSIO,PRODUTOS PARA HEMODIALISE,BICARBONATO DE SÓDIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE SÓDIO +  GLICOSE MONOIDRATADA +  CLORETO DE CÁLCIO DIIDRATADO
DUOTRAT,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DIPROPIONATO DE BETAMETASONA +  SULFATO DE GENTAMICINA
DUOVENT,BRONCODILATADORES,BROMETO DE IPRATRÓPIO +  BROMIDRATO DE FENOTEROL
DUPHALAC,LAXANTES SUAVIZADORES OU EMOLIENTES,LACTULOSE
DUPHASTON,PROGESTAGENOS SIMPLES,DIDROGESTERONA
DUPLIVIR,ANTIRETROVIRAL,LAMIVUDINA +  FUMARATO DE TENOFOVIR DESOPROXILA
DURATESTON,ANDROGENOS-ASSOCIACOES MEDICAMENTOSAS,DECANOATO DE TESTOSTERONA +  FEMPROPIONATO DE TESTOSTERONA +  ISOCAPROATO DE TESTOSTERONA +  PROPIONATO DE TESTOSTERONA
DURATOCIN,"PREPARAÇÕES HORMONAIS PARA USO SISTÊMICO, EXCLUINDO HORMÔNIOS SEXUAIS E INSULINAS",CARBETOCINA
DUROGESIC,ANALGESICOS NARCOTICOS,FENTANILA
DUSPATALIN,ANTIESPASMODICOS,CLORIDRATO DE MEBEVERINA
DUTAM,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA +  DUTASTERIDA
DUTASTERIDA + CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA +  DUTASTERIDA
DUXIO,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES",ÁCIDO URSODESOXICÓLICO
DUZIMICIN,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA
DVITERD3,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
DVITTA,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
DYSPORT,AGENTE PARALISANTE NEUROMUSCULAR,TOXINA BOTULÍNICA A
Dacogen,ANTINEOPLASICOS CITOTOXICOS,DECITABINA
DePURA,VITAMINAS,COLECALCIFEROL
Deci,ANTINEOPLASICOS CITOTOXICOS,DECITABINA
Delumi,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
Demi-D,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
Dermovagin,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE MICONAZOL +  TINIDAZOL
Descovy,ASSOCIAÇÕES DE ANTIVIRÓTICOS PARA O TRATAMENTO DE INFECÇÕES POR HIV,HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA +  ENTRICITABINA
Desoskin,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,DESONIDA
Dexa-Citoneurin NFF,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  FOSFATO DISSÓDICO DE DEXAMETASONA
Dexametasona,GLICOCORTICOIDES SISTEMICOS,DEXAMETASONA
Dexlla,HIPNOTICOS,CLORIDRATO DE DEXMEDETOMIDINA
Diazepam,ANSIOLITICOS SIMPLES,DIAZEPAM
Diclofan® Gel,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO
Diclofenaco Dietilamônio,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO
Diclofenaco Sódico,ANTINFLAMATORIOS,DICLOFENACO SÓDICO
Diclofenaco potássico,ANTINFLAMATORIOS,DICLOFENACO POTÁSSICO
Diflumid,DIURETICOS SIMPLES,FUROSEMIDA
Digoxina,GLICOSIDEOS CARDIACOS,DIGOXINA
Diluente Bacteriostático,"SOLVENTES E AGENTES DILUENTES, INCLUINDO SOLUÇÕES PARA IRRIGAÇÃO",ÁLCOOL BENZÍLICO
Dipropionato de Betametasona + Sulfato de Gentamicina,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DIPROPIONATO DE BETAMETASONA +  SULFATO DE GENTAMICINA
Divalproato de Sódio,ANTICONVULSIVANTES,DIVALPROATO DE SÓDIO
Divalproato de sódio,ANTICONVULSIVANTES,DIVALPROATO DE SÓDIO
Dorene,ANTICONVULSIVANTES,PREGABALINA
Dorilax DT,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  PARACETAMOL
Dozemast,MONOVITAMINAS EXCETO VITAMINA K,MECOBALAMINA
Dramavit,ANTIEMETICOS E ANTINAUSEANTES,DIMENIDRINATO
Dramavit B6,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PIRIDOXINA +  DIMENIDRINATO
Dramin,ANTIEMETICOS E ANTINAUSEANTES,DIMENIDRINATO
Dramin B6,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PIRIDOXINA +  DIMENIDRINATO
Dramin B6 DL,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PIRIDOXINA +  DIMENIDRINATO +  FRUTOSE +  GLICOSE
Duaklir Genuair,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO
Duavive,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ESTROGÊNIOS CONJUGADOS +  ACETATO DE BAZEDOXIFENO
Dupixent,IMUNOMODULADOR,DUPILUMABE
Dupla,ANTIRETROVIRAL,LAMIVUDINA +  FUMARATO DE TENOFOVIR DESOPROXILA
Dymista,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE AZELASTINA +  PROPIONATO DE FLUTICASONA
DÁIVA,ANTICONCEPCIONAIS,ALGESTONA ACETOFENIDA +  ENANTATO DE ESTRADIOL
DÊLUX,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
DORTO,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO
E-TABS,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
EACA BALSÂMICO,EXPECTORANTES BALSAMICOS E MUCOLITICO,BENZOATO DE SÓDIO +  CLORETO DE AMÔNIO +  GUAIFENESINA +  ÁCIDO ÉPSILON AMINOCAPRÓICO
EBASTEL,ANTI-HISTAMINICOS SISTEMICOS,EBASTINA
EBATZ,ANTILIPEMICOS,PITAVASTATINA CÁLCICA
EBIX,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
EBYMECT,ANTIDIABETICOS,CLORIDRATO DE METFORMINA +  PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO
ECALTA,ANTI-FUNGICOS,ANIDULAFUNGINA
ECASIL-81,ANALGESICOS NAO NARCOTICOS,ACIDO ACETILSALICILICO
ECD-TEC,,DICLORIDRATO DE ETILENODICISTEÍNA DIETILÉSTER
ECOFILM,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARMELOSE SÓDICA
ECOS,ANTITUSSIGENOS SIMPLES,DROPROPIZINA
ECOXE,ANTINFLAMATORIOS ANTIREUMATICOS,ETORICOXIBE
ECTRIN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,PERMETRINA
EDISTRIDE,ANTIDIABETICOS,DAPAGLIFLOZINA
EFAVIRENZ,ANTIRETROVIRAL,EFAVIRENZ
EFEDRIN,HIPERTENSOR,SULFATO DE EFEDRINA
EFEXOR,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
EFFIENT,ANTIAGREGANTE PLAQUETARIO,CLORIDRATO DE PRASUGREL
EFICENTUS,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
EFRINALIN,VASOCONSTRITORES E HIPERTENSORES,HEMITARTARATO DE EPINEFRINA
EFURIX,OUTROS ANTINEOPLASICOS,FLUORURACILA
EGURINEL,OUTROS AGENTES IMUNOSSUPRESSORES + PIFENIDONA,PIRFENIDONA
EKSON,ANTIPARKINSONIANOS,CLORIDRATO DE BENSERAZIDA +  LEVODOPA
ELANI,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
ELANI CICLO,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
ELCODRIX DC,ANALGESICOS,CAFEÍNA +  PARACETAMOL
ELDOQUIN,DESMELANIZANTES,HIDROQUINONA
ELETA,ANALGESICOS CONTRA ENXAQUECA,BROMIDRATO DE ELETRIPTANA
ELIDEL,ANTINFLAMATORIOS,PIMECROLIMO
ELIFORE,ANTIDEPRESSIVOS,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO
ELIGARD,ANTINEOPLASICO,ACETATO DE LEUPRORRELINA
ELIQUIS,ANTITROMBOTICO,APIXABANA
ELIXIR CÓLICO,ANTIESPASMODICOS + FITOTERAPICO SIMPLES,ATROPA BELLADONNA L.
ELIXIR PAREGÓRICO CATARINENSE,ANTIESPASMODICOS,PAPAVER SOMNIFERUM L.
ELIZIP,ANTICONVULSIVANTES,LEVETIRACETAM
ELLURA,PRODUTOS PARA VIAS URINARIAS,VACCINIUM MACROCARPON AITON
ELOCTATE,ANTI-HEMORRAGICOS,ALFAEFMOROCTOCOGUE
ELONVA,HORMONIO GONADOTROFICO,ALFACORIFOLITROPINA
ELOTIN,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,CLORIDRATO DE LIDOCAINA +  SULFATO DE NEOMICINA +  SULFATO DE POLIMIXINA B +  FLUOCINOLONA ACETONIDA
ELOXATIN,CITOSTATICOS ALQUILANTES,OXALIPLATINA
ELPENZO,ANTILIPEMICOS,ROSUVASTATINA CÁLCICA
ELPRAZOL,ANTIULCEROSOS,OMEPRAZOL
ELPROLIX,ANTI-HEMORRAGICOS,ALFAEFTRENONACOGUE
ELÔ,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL
EMAH,ANTINEOPLASICO,EXEMESTANO
EMAMA,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
EMEND INJETÁVEL,ANTIEMETICOS E ANTINAUSEANTES,FOSAPREPITANTO DIMEGLUMINA
EMGALITY,OUTRAS PREPARAÇÕES ANTIENXAQUECA,GALCANEZUMABE
EMIBAZET,ANTILIPEMICOS,EZETIMIBA
EMIBAZET SINV,ANTILIPEMICOS,EZETIMIBA +  SINVASTATINA
EMILY,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
EMISTIN,ANTI-HISTAMINICOS SISTEMICOS,ACETATO DE DEXAMETASONA +  DEXAMETASONA +  FUMARATO DE CLEMASTINA
EMLA,ANESTESICOS LOCAIS,LIDOCAÍNA +  PRILOCAÍNA
EMPAK,ANTICONVULSIVANTES,GABAPENTINA
EMPROL XR,BETABLOQUEADORES SIMPLES,SUCCINATO DE METOPROLOL
EMS-PRED,GLICOCORTICOIDES SISTEMICOS,FOSFATO SÓDICO DE PREDNISOLONA +  PREDNISOLONA
EMSCORT,ANTIMICOTICOS PARA USO TOPICO,CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA
EMSEXPECTOR,EXPECTORANTES BALSAMICOS E MUCOLITICO,GUAIFENESINA +  MALEATO DE DEXCLORFENIRAMINA +  SULFATO DE PSEUDOEFEDRINA
EMSFEB EFE,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE PSEUDOEFEDRINA +  PARACETAMOL
EMSGRIP,ANALGESICOS NAO NARCOTICOS,PARACETAMOL
EMSGRIP CAF,ANALGESICOS NAO NARCOTICOS,CAFEÍNA +  PARACETAMOL
EMULSÃO SCOTT,POLIVITAMINICOS COM MINERAIS,COLECALCIFEROL +  ERGOCALCIFEROL +  FOSFATO DICÁLCICO +  FOSFATO MONOSSÓDICO +  HIPOFOSFITO DE SÓDIO +  PALMITATO DE RETINOL +  PALMITATO DE RETINOL + ERGOCALCIFEROL +  VITAMINA A +  VITAMINA D3 +  ÓLEO DE FÍGADO DE BACALHAU +  ÓLEO DE SOJA
ENABLEX,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,BROMIDRATO DE DARIFENACINA
ENALAMED,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL
ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL,ANTICONCEPCIONAIS,ENANTATO DE NORETISTERONA +  VALERATO DE ESTRADIOL
ENAPLEX,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL
ENAVO ODT,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
ENAX,FITOTERAPICO SIMPLES + IMUNOMODULADOR,ECHINACEA PURPUREA (L.) MOENCH
ENBREL PFS,ANTINFLAMATORIOS,ETANERCEPTE
ENCRISE,HORMONIOS DA HIPOFISE,VASOPRESSINA SINTETICA
ENDCOFF,ANTITUSSIGENOS,CITRATO DE SÓDIO +  CLORETO DE AMÔNIO +  CLORIDRATO DE DIFENIDRAMINA
ENDOBULIN KIOVIG,IMUNOGLOBULINAS,IMUNOGLOBULINA G 
ENDOCRIS,ANTITROMBOTICO,ENOXAPARINA SÓDICA
ENDOFER,ANTIANEMICOS SIMPLES,FERRIPOLIMALTOSE
ENDOFOLIN,ANTIANEMICOS,ÁCIDO FÓLICO
ENDONIDAZOL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS",METRONIDAZOL
ENDROSTAN,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO
ENEMA JP,ENEMAS,FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO +  FOSFATO DE SÓDIO MONOBÁSICO MONOIDRATADO
ENEMIN,LAXANTES,LAURILSULFATO DE SÓDIO +  SORBITOL
ENERGRIP C,MONOVITAMINAS EXCETO VITAMINA K,ÁCIDO ASCÓRBICO
ENFLURAN,ANESTESICOS GERAIS VOLATEIS E GASOSOS,ENFLURANO
ENGOV,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,CAFEÍNA +  HIDRÓXIDO DE ALUMÍNIO +  MALEATO DE MEPIRAMINA +  ÁCIDO ACETILSALICÍLICO
ENGRAN,GLICOCORTICOIDES SISTEMICOS,FOSFATO DISSÓDICO DE DEXAMETASONA
ENGYSTOL,MEDICAMENTOS DINAMIZADOS COMPOSTOS,SULFUR +  VINCETOXICUM HIRUNDINARIA
ENHERTU,ANTINEOPLASICO,TRASTUZUMABE DERUXTECANA
ENJOY,ANALGESICOS CONTRA ENXAQUECA,ACIDO ACETILSALICILICO +  CAFEÍNA +  HIDROXIDO DE ALUMÍNIO +  MALEATO DE MEPIRAMINA
ENO TABS FRUTAS SORTIDAS,ANTIACIDO,CARBONATO DE CÁLCIO
ENTACAPONA,ANTIPARKINSONIANOS,ENTACAPONA
ENTARKIN,ANTIPARKINSONIANOS,ENTACAPONA
ENTOCORT,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,BUDESONIDA MICRONIZADA
ENTYVIO,IMUNOSUPRESSOR,VEDOLIZUMABE
ENVID,VITAMINAS,ACETATO DE RACEALFATOCOFEROL +  ÁCIDO FÓLICO
ENXAK,ANALGESICOS CONTRA ENXAQUECA,CAFEÍNA +  DIPIRONA +  MESILATO DE DI-HIDROERGOTAMINA
EPAPHYTO,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,PEUMUS BOLDUS MOLINA
EPAREMA,COLAGOGOS E COLERETICOS + FITOTERAPICO COMPOSTO,FRANGULA PURSHIANA (DC.) A. GRAY  +  PEUMUS BOLDUS MOLINA +  RHEUM PALMATUM L.
EPATIVAN,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  RACEMETIONINA
EPHYNAL,MONOVITAMINAS EXCETO VITAMINA K,ACETATO DE RACEALFATOCOFEROL
EPICITRIN,ANTINFECCIOSOS TOPICOS,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA
EPIKABI,VASOCONSTRITORES E HIPERTENSORES,HEMITARTARATO DE NOREPINEFRINA
EPILENIL,ANTICONVULSIVANTES,VALPROATO DE SÓDIO +  ÁCIDO VALPRÓICO
EPILEPTIL,ANTICONVULSIVANTES,CLONAZEPAM
EPITEGEL,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,DEXPANTENOL
EPIVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),LAMIVUDINA
EPOCLER,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,BETAÍNA +  CITRATO DE COLINA +  DL-METIONINA +  RACEMETIONINA
EPONIM,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,ACETATO DE DESMOPRESSINA
EPREX,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA
EPYL,ANTICONVULSIVANTES,LAMOTRIGINA
EPÉZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA
EPÓSIDO,ANTINEOPLASICO,ETOPOSÍDEO
EQUILIBRISSE,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.
EQUILID,NEUROLEPTICOS,SULPIRIDA
EQUINÁCEA TIARAJU,FITOTERAPICO SIMPLES + IMUNOESTIMULANTES,ECHINACEA PURPUREA (L.) MOENCH
EQUITAM,VASODILATADORES,GINKGO BILOBA L.
ERANFUL,AGENTES ANTINEOPLÁSICOS,FULVESTRANTO
ERANZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA
ERBITUX,ANTINEOPLASICO,CETUXIMABE
ERGOMETRIN,OCITOCICOS NAO HORMONAIS,MALEATO DE METILERGOMETRINA
ERITROMAX,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA
ERITROPOIETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA
ERIVEDGE,ANTINEOPLASICO,VISMODEGIBE
ERMONDERM,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,VALERATO DE BETAMETASONA
ERMOPAN,ANTIESPASMODICOS,BROMETO DE N-BUTILESCOPOLAMINA
EROXYM,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO
ERYSIDORON-1,MEDICAMENTOS DINAMIZADOS COMPOSTOS,APIS MELLIFICA +  ATROPA BELLADONNA
ESALERG,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
ESALERG D12,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA +  SULFATO DE PSEUDOEFEDRINA
ESALERG GOTAS,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
ESC,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESC ODT,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESCAB-IFAL,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,BENZOATO DE BENZILA
ESCABIN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,DELTAMETRINA
ESCENA,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESCILEX,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESCINA + POLISSULFATO DE ESCINA SÓDICA + SALICILATO DE DIETILAMÔNIO,ANTIVARICOSOS TOPICOS,ESCINA +  POLISSULFATO DE ESCINA SÓDICA +  SALICILATO DE DIETILAMÔNIO
ESCIP,ANTIDEPRESSIVOS,OXALATO DE ESCITALOPRAM
ESCOPEN COMPOSTO,ANTIESPASMODICOS,BUTIL BROMETO DE ESCOPOLAMINA +  DIPIRONA MONOIDRATADA
ESKAVIT,VITAMINA K SIMPLES OU EM ASSOCIACOES MEDICAMENTOSAS,FITOMENADIONA
ESKEMICO,ANTIANGINOSOS E VASODILATADORES,DICLORIDRATO DE TRIMETAZIDINA
ESMERON,BLOQUEADOR NEUROMUSCULAR,BROMETO DE ROCURÔNIO
ESMOG,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESMOLAN,BETABLOQUEADORES SIMPLES,CLORIDRATO DE ESMOLOL
ESOGASTRO,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESOGASTRO IBP,ANTIACIDOS E ANTIULCEROSOS,AMOXICILINA TRI-HIDRATADA +  CLARITROMICINA +  ESOMEPRAZOL MAGNÉSICO DI-HIDRATADO +  ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESOMEPRAZOL MAGNÉSIO TRIIDRATADO,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESOMEPRAZOL SODICO,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,ESOMEPRAZOL SÓDICO
ESOMEPRAZOL SÓDICO,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,ESOMEPRAZOL SÓDICO
ESOMEPRAZOL SÓDICO,,ESOMEPRAZOL SÓDICO
ESOMEX,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESOP,ANTIULCEROSOS,ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO
ESPASLIT DUO,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,BUTILBROMETO DE ESCOPOLAMINA +  PARACETAMOL
ESPASMO DIMETILIV,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,METILBROMETO DE HOMATROPINA +  SIMETICONA
ESPASMO FLATOL,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,METILBROMETO DE HOMATROPINA +  SIMETICONA
ESPECTROPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,SULFAMETOXAZOL +  TRIMETOPRIMA
ESPERSON,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,DESOXIMETASONA
ESPERSON N,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. + GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DESOXIMETASONA +  SULFATO DE NEOMICINA
ESPINHEIRA SANTA,ANTIULCEROSOS + FITOTERAPICO SIMPLES,MAYTENUS ILICIFOLIA MART. EX REISSEK
ESPINHEIRA SANTA HERBARIUM,ANTIULCEROSOS,MAYTENUS ILICIFOLIA MART. EX REISSEK
ESPINHEIRA SANTA NATULAB,ANTIACIDOS E ANTIULCEROSOS SIMPLES + FITOTERAPICO SIMPLES,MAYTENUS ILICIFOLIA MART. EX REISSEK
